period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units
2019-12,61006,SCDA Solar 1,SUN,Solar,CA,California,ALL,532.08,megawatthours
2019-12,61006,SCDA Solar 1,SUN,Solar,CA,California,PV,532.08,megawatthours
2019-12,61013,Marin Clean Energy Solar One,SUN,Solar,CA,California,ALL,722.6,megawatthours
2019-12,61013,Marin Clean Energy Solar One,SUN,Solar,CA,California,PV,722.6,megawatthours
2020-04,63545,Chevron - Lost Hills Hybrid,SUN,Solar,CA,California,ALL,6870.0,megawatthours
2020-04,63545,Chevron - Lost Hills Hybrid,SUN,Solar,CA,California,PV,6870.0,megawatthours
2020-04,59308,Beacon Solar Plant Site 5,SUN,Solar,CA,California,ALL,9226.0,megawatthours
2020-04,59308,Beacon Solar Plant Site 5,SUN,Solar,CA,California,PV,9226.0,megawatthours
2020-04,59309,Beacon Solar Plant Site 2,SUN,Solar,CA,California,ALL,11936.0,megawatthours
2020-04,59309,Beacon Solar Plant Site 2,SUN,Solar,CA,California,PV,11936.0,megawatthours
2020-04,59315,Hecate Energy Beacon Solar 1,SUN,Solar,CA,California,ALL,13313.0,megawatthours
2020-04,59315,Hecate Energy Beacon Solar 1,SUN,Solar,CA,California,PV,13313.0,megawatthours
2020-04,59316,Hecate Energy Beacon Solar 3,SUN,Solar,CA,California,ALL,13221.0,megawatthours
2020-04,59316,Hecate Energy Beacon Solar 3,SUN,Solar,CA,California,PV,13221.0,megawatthours
2020-04,59317,Hecate Energy Beacon Solar 4,SUN,Solar,CA,California,ALL,11760.0,megawatthours
2019-12,56862,Bolthouse S&P and Rowen Farms Solar,SUN,Solar,CA,California,ALL,118.87,megawatthours
2019-12,56862,Bolthouse S&P and Rowen Farms Solar,SUN,Solar,CA,California,PV,118.87,megawatthours
2019-12,56875,Sacramento Soleil LLC,SUN,Solar,CA,California,ALL,51.7,megawatthours
2019-12,56875,Sacramento Soleil LLC,SUN,Solar,CA,California,PV,51.7,megawatthours
2019-11,59132,EAFB - North Base,SUN,Solar,CA,California,ALL,137.67,megawatthours
2019-11,59132,EAFB - North Base,SUN,Solar,CA,California,PV,137.67,megawatthours
2019-11,59133,EAFB - South Base,SUN,Solar,CA,California,ALL,137.28,megawatthours
2019-11,59133,EAFB - South Base,SUN,Solar,CA,California,PV,137.28,megawatthours
2019-11,59138,SDCCD - Miramar,SUN,Solar,CA,California,ALL,93.24,megawatthours
2019-11,59138,SDCCD - Miramar,SUN,Solar,CA,California,PV,93.24,megawatthours
2019-11,59139,SDCWA - Twin Oaks,SUN,Solar,CA,California,ALL,96.29,megawatthours
2019-11,59139,SDCWA - Twin Oaks,SUN,Solar,CA,California,PV,96.29,megawatthours
2021-01,60590,"Golden Fields Solar I, LLC",SUN,Solar,CA,California,ALL,5709.0,megawatthours
2021-01,60590,"Golden Fields Solar I, LLC",SUN,Solar,CA,California,PV,5709.0,megawatthours
2021-01,60591,"Solar Star California, XLI, LLC",SUN,Solar,CA,California,ALL,4666.0,megawatthours
2021-01,60591,"Solar Star California, XLI, LLC",SUN,Solar,CA,California,PV,4666.0,megawatthours
2019-12,58118,La Joya Del Sol,SUN,Solar,CA,California,ALL,75.19,megawatthours
2019-12,58118,La Joya Del Sol,SUN,Solar,CA,California,PV,75.19,megawatthours
2019-12,58119,Depot Park Solar System,SUN,Solar,CA,California,ALL,202.42,megawatthours
2019-12,58119,Depot Park Solar System,SUN,Solar,CA,California,PV,202.42,megawatthours
2021-01,58388,Solar Star 1,SUN,Solar,CA,California,ALL,43005.0,megawatthours
2021-01,58388,Solar Star 1,SUN,Solar,CA,California,PV,43005.0,megawatthours
2021-01,58389,Solar Star 2,SUN,Solar,CA,California,ALL,39853.0,megawatthours
2021-01,58389,Solar Star 2,SUN,Solar,CA,California,PV,39853.0,megawatthours
2019-11,59597,"Colton Solar One, LLC",SUN,Solar,CA,California,ALL,252.99,megawatthours
2019-11,59597,"Colton Solar One, LLC",SUN,Solar,CA,California,PV,252.99,megawatthours
2019-11,59598,"Colton Solar Two, LLC",SUN,Solar,CA,California,ALL,105.55,megawatthours
2019-11,59598,"Colton Solar Two, LLC",SUN,Solar,CA,California,PV,105.55,megawatthours
2019-11,59599,Tropico Solar PV Plant,SUN,Solar,CA,California,ALL,1900.81,megawatthours
2019-11,59599,Tropico Solar PV Plant,SUN,Solar,CA,California,PV,1900.81,megawatthours
2019-11,59600,Nicolis Solar PV Plant,SUN,Solar,CA,California,ALL,2784.13,megawatthours
2019-11,59600,Nicolis Solar PV Plant,SUN,Solar,CA,California,PV,2784.13,megawatthours
2019-11,59607,"Maricopa West Solar PV, LLC",SUN,Solar,CA,California,ALL,2502.02,megawatthours
2019-11,59607,"Maricopa West Solar PV, LLC",SUN,Solar,CA,California,PV,2502.02,megawatthours
2019-11,59610,"AP North Lake I, LP",SUN,Solar,CA,California,ALL,2362.25,megawatthours
2019-11,59610,"AP North Lake I, LP",SUN,Solar,CA,California,PV,2362.25,megawatthours
2019-11,61249,Westmont 300A,SUN,Solar,CA,California,ALL,292.87,megawatthours
2019-11,61249,Westmont 300A,SUN,Solar,CA,California,PV,292.87,megawatthours
2019-11,61250,USPS PV,SUN,Solar,CA,California,ALL,912.38,megawatthours
2019-11,61250,USPS PV,SUN,Solar,CA,California,PV,912.38,megawatthours
2019-11,57650,Regulus Solar Project,SUN,Solar,CA,California,ALL,8734.73,megawatthours
2019-11,57650,Regulus Solar Project,SUN,Solar,CA,California,PV,8734.73,megawatthours
2019-11,57651,Adobe Solar,SUN,Solar,CA,California,ALL,2649.29,megawatthours
2019-11,57651,Adobe Solar,SUN,Solar,CA,California,PV,2649.29,megawatthours
2019-11,57655,Bakersfield College Solar 01,SUN,Solar,CA,California,ALL,0.0,megawatthours
2019-11,57655,Bakersfield College Solar 01,SUN,Solar,CA,California,PV,0.0,megawatthours
2019-11,57656,"Temescal Canyon RV, LLC",SUN,Solar,CA,California,ALL,110.6,megawatthours
2019-11,57656,"Temescal Canyon RV, LLC",SUN,Solar,CA,California,PV,110.6,megawatthours
2020-04,59317,Hecate Energy Beacon Solar 4,SUN,Solar,CA,California,PV,11760.0,megawatthours
2019-11,59150,RE Mustang LLC,SUN,Solar,CA,California,ALL,13710.16,megawatthours
2019-11,59150,RE Mustang LLC,SUN,Solar,CA,California,PV,13710.16,megawatthours
2021-02,60777,"American Kings Solar, LLC",SUN,Solar,CA,California,ALL,23501.0,megawatthours
2021-02,60777,"American Kings Solar, LLC",SUN,Solar,CA,California,PV,23501.0,megawatthours
2021-02,60825,Colgreen North Shore Solar Farm,SUN,Solar,CA,California,ALL,12223.0,megawatthours
2021-02,60825,Colgreen North Shore Solar Farm,SUN,Solar,CA,California,PV,12223.0,megawatthours
2021-03,60590,"Golden Fields Solar I, LLC",SUN,Solar,CA,California,ALL,10048.0,megawatthours
2019-11,60744,SEPV Imperial Dixieland West,SUN,Solar,CA,California,ALL,490.44,megawatthours
2019-11,60744,SEPV Imperial Dixieland West,SUN,Solar,CA,California,PV,490.44,megawatthours
2019-11,60745,SEPV Imperial Dixieland East,SUN,Solar,CA,California,ALL,321.93,megawatthours
2019-11,60745,SEPV Imperial Dixieland East,SUN,Solar,CA,California,PV,321.93,megawatthours
2019-11,61264,Antelope Expansion 2,SUN,Solar,CA,California,ALL,15167.0,megawatthours
2019-11,61264,Antelope Expansion 2,SUN,Solar,CA,California,PV,15167.0,megawatthours
2019-11,61265,Antelope DSR 3,SUN,Solar,CA,California,ALL,1895.54,megawatthours
2019-11,57669,SMUD at Grundman,SUN,Solar,CA,California,ALL,1798.03,megawatthours
2019-11,57669,SMUD at Grundman,SUN,Solar,CA,California,PV,1798.03,megawatthours
2019-11,57670,SMUD at Van Conett,SUN,Solar,CA,California,ALL,276.23,megawatthours
2019-11,57670,SMUD at Van Conett,SUN,Solar,CA,California,PV,276.23,megawatthours
2019-11,57671,SMUD at Fleshman,SUN,Solar,CA,California,ALL,305.29,megawatthours
2019-11,57671,SMUD at Fleshman,SUN,Solar,CA,California,PV,305.29,megawatthours
2019-11,59086,"Cottonwood Solar, LLC (Goose Lake)",SUN,Solar,CA,California,ALL,1790.27,megawatthours
2019-11,59086,"Cottonwood Solar, LLC (Goose Lake)",SUN,Solar,CA,California,PV,1790.27,megawatthours
2019-11,59087,"Cottonwood Solar, LLC (City of Corcoran)",SUN,Solar,CA,California,ALL,1438.99,megawatthours
2019-11,59087,"Cottonwood Solar, LLC (City of Corcoran)",SUN,Solar,CA,California,PV,1438.99,megawatthours
2019-11,59088,Calipatria Solar Farm,SUN,Solar,CA,California,ALL,2331.57,megawatthours
2019-11,59088,Calipatria Solar Farm,SUN,Solar,CA,California,PV,2331.57,megawatthours
2019-11,59167,Lancaster Solar 1,SUN,Solar,CA,California,ALL,186.26,megawatthours
