period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,gross-generation,generation-units,gross-generation-units
2018-05-01,60127,"Eastern Shore Solar, LLC",SUN,Solar,VA,Virginia,PV,14004.46,14004.46,megawatthours,megawatthours
2018-05-01,60128,Zephyr Wind,WND,Wind,OH,Ohio,ALL,826.83,826.83,megawatthours,megawatthours
2018-05-01,60128,Zephyr Wind,WND,Wind,OH,Ohio,WT,826.83,826.83,megawatthours,megawatthours
2018-05-01,60253,IMPA Anderson Solar Park,SUN,Solar,IN,Indiana,ALL,781.96,793.72,megawatthours,megawatthours
2018-05-01,60253,IMPA Anderson Solar Park,SUN,Solar,IN,Indiana,PV,781.96,793.72,megawatthours,megawatthours
2018-05-01,60255,Weymouth Solar Plant,SUN,Solar,CA,California,ALL,641.64,641.64,megawatthours,megawatthours
2018-05-01,60255,Weymouth Solar Plant,SUN,Solar,CA,California,PV,641.64,641.64,megawatthours,megawatthours
2018-05-01,60256,Bluestem,WND,Wind,OK,Oklahoma,ALL,77525.0,78695.0,megawatthours,megawatthours
2018-05-01,60256,Bluestem,WND,Wind,OK,Oklahoma,WT,77525.0,78695.0,megawatthours,megawatthours
2018-05-01,60257,Stainback Solar Farm,SUN,Solar,NC,North Carolina,ALL,962.13,964.12,megawatthours,megawatthours
2018-05-01,60257,Stainback Solar Farm,SUN,Solar,NC,North Carolina,PV,962.13,964.12,megawatthours,megawatthours
2018-05-01,60258,Alta Luna,SUN,Solar,NM,New Mexico,ALL,8464.0,8544.0,megawatthours,megawatthours
2018-05-01,60258,Alta Luna,SUN,Solar,NM,New Mexico,PV,8464.0,8544.0,megawatthours,megawatthours
2018-05-01,60259,"Pioneer Wind Park, LLC",WND,Wind,WY,Wyoming,ALL,19584.57,19618.44,megawatthours,megawatthours
2018-05-01,60355,Brady Wind Energy Center,WND,Wind,ND,North Dakota,ALL,44881.29,46148.27,megawatthours,megawatthours
2018-05-01,60355,Brady Wind Energy Center,WND,Wind,ND,North Dakota,WT,44881.29,46148.27,megawatthours,megawatthours
2018-05-01,60361,Wortham Solar Farm,SUN,Solar,NC,North Carolina,ALL,917.23,919.11,megawatthours,megawatthours
2018-05-01,60361,Wortham Solar Farm,SUN,Solar,NC,North Carolina,PV,917.23,919.11,megawatthours,megawatthours
2018-05-01,60363,"White Farm Solar, LLC",SUN,Solar,NC,North Carolina,ALL,929.76,931.64,megawatthours,megawatthours
2018-05-01,60363,"White Farm Solar, LLC",SUN,Solar,NC,North Carolina,PV,929.76,931.64,megawatthours,megawatthours
2018-05-01,60365,Vulcraft Solar,SUN,Solar,NY,New York,ALL,218.59,219.02,megawatthours,megawatthours
2018-05-01,60365,Vulcraft Solar,SUN,Solar,NY,New York,PV,218.59,219.02,megawatthours,megawatthours
2018-05-01,60473,Westport MA 1 Community Solar,SUN,Solar,MA,Massachusetts,ALL,237.2,237.2,megawatthours,megawatthours
2018-05-01,60473,Westport MA 1 Community Solar,SUN,Solar,MA,Massachusetts,PV,237.2,237.2,megawatthours,megawatthours
2018-05-01,60474,"Bayshore Solar B, LLC",SUN,Solar,CA,California,ALL,6255.91,6284.5,megawatthours,megawatthours
2018-05-01,60474,"Bayshore Solar B, LLC",SUN,Solar,CA,California,PV,6255.91,6284.5,megawatthours,megawatthours
2018-05-01,60475,"Bayshore Solar C, LLC",SUN,Solar,CA,California,ALL,6088.3,6113.96,megawatthours,megawatthours
2018-05-01,60475,"Bayshore Solar C, LLC",SUN,Solar,CA,California,PV,6088.3,6113.96,megawatthours,megawatthours
2018-05-01,60476,Westport MA 2 Community Solar,SUN,Solar,MA,Massachusetts,ALL,207.45,207.45,megawatthours,megawatthours
2018-05-01,60476,Westport MA 2 Community Solar,SUN,Solar,MA,Massachusetts,PV,207.45,207.45,megawatthours,megawatthours
